,name,rating,date,one,two,three,four,five,tag,tag_name,region,region_name,era,is_made_in_china,log10_proportion
6549,冰雪奇缘 Frozen(2013),8.4,2013-11-27,38.2,46.5,14.2,0.9,0.2,tag3,歌舞,region1, 美国,2010s,0.0,1.5820633629117087
6550,血战钢锯岭 Hacksaw Ridge(2016),8.7,2016-09-04,46.6,41.5,10.8,0.9,0.2,tag3,历史,region1, 澳大利亚 ,2010s,0.0,1.6683859166900001
6551,奇异博士 Doctor Strange(2016),7.6,2016-10-25,19.1,47.4,29.8,3.2,0.5,tag3,冒险,region1, 美国,2010s,0.0,1.2810333672477277
6552,捉妖记(2015),6.7,2015-07-16,10.2,31.9,44.7,9.9,3.2,tag3,古装,region1, 中国大陆 ,2010s,1.0,1.0086001717619175
6553,头脑特工队 Inside Out(2015),8.8,2015-06-19,51.5,36.9,10.6,0.8,0.2,tag3,冒险,region1, 美国,2010s,0.0,1.711807229041191
6554,无双 無雙(2018),8.0,2018-09-30,25.3,52.3,20.2,1.8,0.3,tag3,悬疑,region1, 中国大陆 ,2010s,1.0,1.403120521175818
6555,蜘蛛侠：英雄远征 Spider-Man: Far from Home(2019),7.6,2019-06-28,19.6,46.0,30.1,3.6,0.7,tag3,冒险,region1, 美国,2010s,0.0,1.2922560713564761
6556,湄公河行动(2016),8.0,2016-09-30,28.1,45.9,22.4,2.9,0.7,tag3,犯罪,region1, 中国大陆 ,2010s,1.0,1.4487063199050798
6557,复仇者联盟2：奥创纪元 Avengers: Age of Ultron(2015),7.5,2015-05-01,19.9,41.8,33.2,4.3,0.9,tag3,奇幻,region1, 美国,2010s,0.0,1.2988530764097066
6558,烈日灼心(2015),8.3,2015-06-15,32.5,50.7,15.1,1.3,0.3,tag3,犯罪,region1, 中国大陆,2010s,1.0,1.5118833609788744
6559,小偷家族 万引き家族(2018),8.7,2018-05-13,45.0,44.7,9.4,0.7,0.2,tag3,犯罪,region1, 日本,2010s,0.0,1.6532125137753437
6560,钢铁侠2 Iron Man 2(2010),7.7,2010-05-07,21.8,44.2,30.7,2.9,0.4,tag3,冒险,region1, 美国,2010s,0.0,1.3384564936046048
6561,7号房的礼物 7번방의 선물(2013),8.9,2013-01-23,57.5,33.6,7.9,0.8,0.2,tag3,家庭,region1, 韩国,2010s,0.0,1.7596678446896306
